
****Results:****
Run Information:
Filename: dj38.tsp
Number of cities: 15
Number of threads: 12
Cutoffs tested: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14

Cutoff		Type		Time(s)		Speedup		Efficiency(%)
------		----		------		-------		------------
0		Sequential	35.690		N/A		N/A
0		Parallel	29.347		1.216		10.135
1		Parallel	29.375		1.215		10.125
2		Parallel	54.840		0.651		5.423
3		Parallel	59.220		0.603		5.022
4		Parallel	42.880		0.832		6.936
5		Parallel	27.571		1.294		10.787
6		Parallel	15.954		2.237		18.643
7		Parallel	11.685		3.054		25.453
8		Parallel	8.499		4.200		34.996
9		Parallel	6.028		5.921		49.343
10		Parallel	3.987		8.952		74.604
11		Parallel	1.648		21.660		180.498
12		Parallel	0.562		63.482		529.014
13		Parallel	0.004		9422.483		78520.693
14		Parallel	0.005		7890.081		65750.676

Sequential run time (cutoff 0): 35.690 seconds
